,TEAM,Name,Number,POS,Age,HT_in,WT_lb,College,Salary
221,TOR,Jeff Dowtin Jr.,20,PG,25,75,177,Rhode Island,--
222,TOR,Malachi Flynn,22,PG,24,73,175,San Diego State,"$2,145,720"
223,TOR,Ron Harper Jr.,8,F,22,77,245,Rutgers,--
224,TOR,Juancho Hernangomez,41,PF,27,81,214,--,"$1,836,090"
225,TOR,Christian Koloko,35,C,22,84,230,Arizona,"$1,500,000"
226,TOR,Jakob Poeltl,25,C,27,85,245,Utah,"$9,398,148"
227,TOR,Otto Porter Jr.,32,SF,29,80,198,Georgetown,"$6,000,000"
228,TOR,Pascal Siakam,43,PF,28,80,230,New Mexico State,"$35,448,672"
229,TOR,Gary Trent Jr.,33,SG,24,77,209,Duke,"$17,505,000"
230,TOR,Fred VanVleet,23,SG,28,72,197,Wichita State,"$21,250,000"
231,TOR,Thaddeus Young,21,PF,34,80,235,Georgia Tech,"$8,000,000"
232,CLE,Jarrett Allen,31,C,24,81,243,Texas,"$20,000,000"
233,CLE,Mamadi Diakite,21,F,26,81,228,Virginia,"$1,517,981"
234,CLE,Darius Garland,10,PG,23,73,192,Vanderbilt,"$8,920,795"
235,CLE,Caris LeVert,3,SG,28,78,205,Michigan,"$18,796,296"
236,CLE,Robin Lopez,33,C,34,84,281,Stanford,"$1,836,090"
237,CLE,Kevin Love,0,PF,34,80,251,UCLA,"$28,942,830"
238,CLE,Donovan Mitchell,45,SG,26,73,215,Louisville,"$30,913,750"
239,CLE,Evan Mobley,4,PF,21,83,215,USC,"$8,478,720"
240,CLE,Isaiah Mobley,15,F,23,80,238,USC,--
241,CLE,Raul Neto,19,PG,30,74,180,--,"$1,836,090"
242,CLE,Isaac Okoro,35,SF,22,77,225,Auburn,"$7,040,880"
243,CLE,Cedi Osman,16,SF,27,79,230,--,"$7,426,088"
244,CLE,Ricky Rubio,13,PG,32,74,190,--,"$5,853,659"
245,CLE,Lamar Stevens,8,F,25,78,230,Penn State,"$1,782,621"
246,CLE,Dean Wade,32,PF,26,81,228,Kansas State,"$1,930,681"
247,CLE,Dylan Windler,9,SG,26,79,196,Belmont,"$4,037,278"
248,DEN,Christian Braun,0,G,21,78,220,Kansas,"$2,808,600"
249,DEN,Bruce Brown,11,SF,26,76,202,Miami (FL),"$6,479,000"
250,DEN,Thomas Bryant,31,C,25,82,248,Indiana,"$1,836,090"
251,DEN,Kentavious Caldwell-Pope,5,SG,29,77,204,Georgia,"$14,004,703"
252,DEN,Vlatko Cancar,31,SF,25,80,236,--,"$2,234,359"
253,DEN,Collin Gillespie,21,G,23,73,195,Villanova,--
254,DEN,Aaron Gordon,50,PF,27,80,235,Arizona,"$19,690,909"
255,DEN,Jeff Green,32,PF,36,80,235,Georgetown,"$4,500,000"
256,DEN,Nikola Jokic,15,C,27,83,284,--,"$33,047,804"
257,DEN,DeAndre Jordan,6,C,34,83,265,Texas A&M,"$1,836,090"
258,DEN,Jamal Murray,27,PG,25,76,215,Kentucky,"$31,650,000"
259,DEN,Zeke Nnaji,22,PF,22,81,240,Arizona,"$2,498,760"
260,DEN,Michael Porter Jr.,1,SF,24,82,218,Missouri,"$30,913,750"
261,DEN,Ish Smith,14,PG,34,72,175,Wake Forest,"$4,750,000"
262,DEN,Peyton Watson,8,F,20,79,200,UCLA,"$2,193,960"
263,DEN,Jack White,10,F,25,79,225,Duke,--
264,MIN,Nickeil Alexander-Walker,6,SG,24,77,205,Virginia Tech,"$5,009,633"
265,MIN,Kyle Anderson,5,SF,29,81,230,UCLA,"$8,780,488"
266,MIN,Mike Conley,11,PG,35,73,175,Ohio State,"$22,680,000"
267,MIN,Anthony Edwards,1,SG,21,76,225,Georgia,"$10,733,400"
268,MIN,Luka Garza,55,C,24,82,243,Iowa,"$925,258"
269,MIN,Rudy Gobert,27,C,30,85,258,--,"$38,172,414"
270,MIN,Nathan Knight,13,F,25,80,253,William & Mary,"$1,836,090"
271,MIN,Jaden McDaniels,3,PF,22,81,185,Washington,"$2,161,440"
272,MIN,Jordan McLaughlin,6,PG,26,72,185,USC,"$2,160,000"
273,MIN,Josh Minott,8,F,20,80,205,Memphis,"$1,017,781"
274,MIN,Wendell Moore Jr.,7,G,21,77,215,Duke,"$2,306,520"
275,MIN,Jaylen Nowell,4,SG,23,76,201,Washington,"$1,930,681"
276,MIN,Taurean Prince,12,PF,28,78,218,Baylor,"$8,000,000"
277,MIN,Naz Reid,11,C,23,81,264,LSU,"$1,930,681"
278,MIN,Austin Rivers,25,SG,30,76,200,Duke,"$1,836,090"
279,MIN,Matt Ryan,37,F,25,78,215,Chattanooga,"$1,836,090"
280,MIN,Karl-Anthony Towns,32,C,27,84,248,Kentucky,"$33,833,400"
281,BKN,Mikal Bridges,25,SF,26,78,209,Villanova,"$20,100,000"
282,BKN,Nic Claxton,33,C,23,83,215,Georgia,"$8,500,000"
283,BKN,Seth Curry,30,SG,32,73,185,Duke,"$8,496,500"
284,BKN,Spencer Dinwiddie,26,PG,29,78,215,Colorado,"$19,500,000"
285,BKN,David Duke Jr.,6,G,23,76,204,Providence,--
286,BKN,Dorian Finney-Smith,28,PF,29,79,220,Florida,"$12,939,648"
287,BKN,Joe Harris,12,SF,31,78,220,Virginia,"$18,642,857"
288,BKN,Cameron Johnson,23,SF,26,80,210,North Carolina,"$5,887,899"
289,BKN,Patty Mills,8,PG,34,72,180,Saint Mary's,"$6,479,000"
290,BKN,Royce O'Neale,00,PF,29,78,226,Baylor,"$9,200,000"
291,BKN,Day'Ron Sharpe,20,C,21,81,265,North Carolina,"$2,109,480"
292,BKN,Ben Simmons,10,PG,26,82,240,LSU,"$35,448,672"
293,BKN,Dru Smith,9,G,25,75,203,Missouri,--
294,BKN,Edmond Sumner,4,PG,27,76,196,Xavier,"$1,968,175"
295,BKN,Cam Thomas,24,SG,21,75,210,LSU,"$2,138,160"
296,BKN,Yuta Watanabe,18,SF,28,80,215,George Washington,"$1,762,796"
297,SAS,Dominick Barlow,26,F,19,81,215,--,--
298,SAS,Charles Bassey,28,C,22,81,230,Western Kentucky,"$1,563,518"
299,SAS,Keita Bates-Diop,31,SF,27,80,229,Ohio State,"$1,878,720"
300,SAS,Khem Birch,24,C,30,80,233,UNLV,"$6,667,500"
301,SAS,Malaki Branham,22,G,19,76,180,Ohio State,"$2,925,600"
302,SAS,Zach Collins,23,PF,25,83,250,Gonzaga,"$7,350,000"
303,SAS,Gorgui Dieng,41,C,33,82,265,Louisville,--
